,summary,Herbst,Winter,Sommer,Frühling,word
Rentenkasse,2.9968768805696153,0.9196054746937983,-0.5579482900084288,-0.37067412355683677,-0.3899777684289549,Rentenkasse
befeuer rentenkasse,2.7264569780525587,0.8158687607679804,-0.4633805394834204,-0.27610637303182856,-0.2954100179039466,befeuer rentenkasse
rentenkasse belast,2.675862899071473,0.7926979521308102,-0.4446494908314248,-0.2573753243798329,-0.27667896925195096,rentenkasse belast
Juli,2.255702680509981,0.5244315974719744,-0.27383911780535264,-0.08656495135376074,-0.10586859622587881,Juli
allein juli,2.255702680509981,0.5244315974719744,-0.27383911780535264,-0.08656495135376074,-0.10586859622587881,allein juli
juli rentenkasse,2.238677843065573,0.5094168635945976,-0.2662630263789726,-0.07898885992738072,-0.09829250479949854,juli rentenkasse
rentenkasse dafür,2.2259279109194323,0.49786949969895006,-0.2605514507060099,-0.07327728425441787,-0.09258092912653591,rentenkasse dafür
"dafür 3,4",2.2200841462010747,0.4924871986597899,-0.2579226822688038,-0.07064851581721192,-0.08995216068933005,"dafür 3,4"
"3,4 milliarde",2.216363126613319,0.4890299773312269,-0.25624520466950257,-0.06897103821791063,-0.08827468309002862,"3,4 milliarde"
euro ausgeb,2.2027089983770147,0.4761389150045987,-0.2500655491661631,-0.062791382714571,-0.08209502758668913,euro ausgeb
lägen,2.1859143878442775,0.4598255979360712,-0.24241180855551026,-0.05513764210391812,-0.07444128697603627,lägen
kosten lieg,2.1859143878442775,0.4598255979360712,-0.24241180855551026,-0.05513764210391812,-0.07444128697603627,kosten lieg
lieg weit,2.1819838436120587,0.4559322520693803,-0.24061206639812416,-0.053337899946532194,-0.07264154481865044,lieg weit
Planwerten,2.1734211641565078,0.4473484923616478,-0.23668008281808361,-0.049405916366491665,-0.06870956123860963,Planwerten
weit planwert,2.1734211641565078,0.4473484923616478,-0.23668008281808361,-0.049405916366491665,-0.06870956123860963,weit planwert
planwert einführung,2.165076548921314,0.4388456763064731,-0.23283330170758657,-0.045559135255994594,-0.06486278012811275,planwert einführung
Option,2.4409025972063194,0.44079777702951,-0.1274879771944796,-0.16547130474773547,-0.18477494961985358,Option
einführung option,2.1574658046622943,0.43096904523354135,-0.2293118777393911,-0.04203771128779907,-0.06134135615991726,einführung option
option jahr,2.1527481693355894,0.4260270539042326,-0.22712282761842248,-0.039848661166830515,-0.0591523060389486,option jahr
2014,2.1504863212779464,0.4236412220562604,-0.22607159591312176,-0.03879742946152988,-0.05810107433364791,2014
jahr 2014,2.1504863212779464,0.4236412220562604,-0.22607159591312176,-0.03879742946152988,-0.05810107433364791,jahr 2014
Etwa,2.764338533598681,0.1685159069178493,-0.24923845687279952,0.487273574927354,-0.30920843982901425,Etwa
400.000,2.1457202813899183,0.4185786497504864,-0.22385287494182302,-0.036578708490231135,-0.05588235336234906,400.000
etwa 400.000,2.1457202813899183,0.4185786497504864,-0.22385287494182302,-0.036578708490231135,-0.05588235336234906,etwa 400.000
400.000 mensch,2.142422926209812,0.4150478178127855,-0.2223149804871092,-0.03504081403551737,-0.05434445890763539,400.000 mensch
mehr denk,2.135471462456573,0.40752698467575427,-0.2190650312175808,-0.03179086476598895,-0.051094509638106834,mehr denk
hätt…,2.1325710578988004,0.40435762042908135,-0.21770590464355322,-0.030431738191961166,-0.04973538306407943,hätt…
denk hätt…,2.1325710578988004,0.40435762042908135,-0.21770590464355322,-0.030431738191961166,-0.04973538306407943,denk hätt…
+682,2.1301205505902443,0.40166526697505367,-0.21655615804981732,-0.02928199159822538,-0.04858563647034346,+682
hätt… +682,2.1301205505902443,0.40166526697505367,-0.21655615804981732,-0.02928199159822538,-0.04858563647034346,hätt… +682
+682 chars,2.1284175715435327,0.39978627565645836,-0.21575636286722197,-0.028482196415630077,-0.04778584128774804,+682 chars
Ambivalenz,2.373650023400622,-0.1623487761382923,-0.3248064480887428,-0.13753228163715076,0.6493376880142969,Ambivalenz
die ambivalenz,2.373650023400622,-0.1623487761382923,-0.3248064480887428,-0.13753228163715076,0.6493376880142969,die ambivalenz
ambivalenz kunst,2.428440294432785,-0.18516910859132857,-0.34762678054177915,-0.16035261409018722,0.6882062098116554,ambivalenz kunst
enthebt,2.4567650022369953,-0.1967653562379723,-0.35922302818842317,-0.17194886173683102,0.7070686494816405,enthebt
kunst entheb,2.4567650022369953,-0.1967653562379723,-0.35922302818842317,-0.17194886173683102,0.7070686494816405,kunst entheb
entheb kritik,2.6273920376994533,-0.26391164502037234,-0.4263693169708229,-0.23909515051923105,0.8060433073965654,entheb kritik
Wajdi,4.081830301014106,-0.7044654024717883,-0.866923074422239,-0.679648907970647,1.2004240728787858,Wajdi
kritik wajdi,2.7312116074910264,-0.3026652344674227,-0.46512290641787335,-0.2778487399662814,0.8563334313357231,kritik wajdi
wajdi mouawads,2.8731751020860123,-0.3533376370698817,-0.5157953090203322,-0.3285211425687404,0.9158556559942861,wajdi mouawads
mouawads vogel,3.5839713712719665,-0.574391418612746,-0.7368490905631965,-0.5495749241116047,1.1151033126794117,mouawads vogel
